candidate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
cand_1,3,3,3,1,2,3,3,3,3,2,4,3,2
cand_2,8,8,8,8,8,7,8,8,8,8,8,8,7
cand_3,5,4,5,5,5,5,4,6,5,4,5,5,5
cand_4,2,3,3,1,1,2,2,2,2,3,3,2,2
cand_5,9,8,8,8,8,9,8,9,9,8,8,10,9
cand_6,5,6,4,5,5,6,6,6,5,8,5,6,5
cand_7,5,5,7,6,7,5,6,5,6,7,6,6,7
cand_8,3,4,2,4,2,4,4,4,3,4,4,3,4
cand_9,8,8,7,7,8,8,7,6,8,7,7,8,8
cand_10,6,5,3,4,4,5,4,5,4,4,5,4,4
cand_11,6,6,6,7,7,6,7,6,7,6,7,7,6
cand_12,9,10,8,9,8,10,9,8,9,9,9,10,9
cand_13,4,2,3,3,3,3,3,3,3,3,4,4,3
