candidate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14
cand_1,6,5,5,4,5,4,4,5,5,5,5,5,4,5
cand_2,4,4,4,4,4,3,4,5,4,4,4,4,4,4
cand_3,8,8,7,7,8,9,9,8,7,8,8,8,8,7
cand_4,8,8,9,9,8,7,9,9,8,8,8,7,9,8
cand_5,6,5,6,6,8,8,6,7,6,5,6,7,6,6
cand_6,5,5,4,6,6,6,5,5,6,7,6,6,6,6
cand_7,5,5,6,4,6,5,5,5,5,5,6,5,5,5
cand_8,3,3,2,3,2,2,2,3,2,1,3,1,3,3
cand_9,3,1,3,2,1,3,3,2,2,3,2,2,2,2
cand_10,3,3,3,3,3,4,2,3,3,4,4,3,4,4
cand_11,9,9,9,8,9,10,9,10,8,9,8,9,8,8
cand_12,6,7,7,8,8,7,6,6,7,7,8,7,7,7
cand_13,8,7,8,8,7,8,7,7,8,8,7,8,7,7
cand_14,3,3,4,4,3,3,3,3,3,5,3,2,3,4
