candidate,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20
cand_1,6,6,6,6,7,6,6,6,6,5,6,6,7,5,6,5,7,6,7,6
cand_2,4,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,5,5,5,4
cand_3,6,8,7,7,8,7,5,6,7,6,7,7,7,7,7,6,7,7,7,5
cand_4,6,7,6,6,7,8,7,7,7,7,7,7,6,7,6,7,7,7,8,7
cand_5,5,5,5,5,4,5,5,5,6,5,5,6,6,5,4,5,6,6,5,5
cand_6,8,9,7,9,9,10,9,8,9,8,8,8,9,10,9,10,9,9,9,10
cand_7,3,3,1,3,2,2,1,3,1,3,2,1,2,2,2,2,3,2,2,2
cand_8,6,7,7,6,7,7,7,7,6,6,7,6,7,7,7,7,6,8,7,6
cand_9,3,4,4,4,4,5,4,4,3,4,5,4,4,4,3,4,5,4,3,3
cand_10,8,8,7,8,8,9,9,8,9,7,8,8,7,7,8,7,8,8,9,8
cand_11,2,3,4,4,5,3,5,4,4,4,3,4,3,4,3,3,4,4,3,4
cand_12,8,9,8,8,8,8,8,9,8,8,8,7,8,9,9,8,8,7,7,9
cand_13,3,3,2,2,3,3,3,3,3,2,3,2,3,4,4,3,3,3,4,2
cand_14,5,6,5,5,7,6,6,6,6,6,6,6,5,6,5,5,5,6,6,6
cand_15,2,3,4,2,1,3,2,2,3,2,3,2,2,2,2,3,3,3,2,2
cand_16,4,5,5,4,4,5,5,5,4,4,5,4,4,4,5,5,4,4,5,4
cand_17,6,6,5,5,5,6,6,6,6,4,5,6,6,5,5,6,6,5,6,5
cand_18,4,3,4,3,3,2,3,3,3,3,2,3,4,3,3,2,2,3,3,3
cand_19,9,8,8,8,8,9,9,9,8,8,10,9,8,9,8,9,8,9,9,9
cand_20,8,7,8,9,9,7,7,7,6,8,8,8,8,7,8,8,7,9,8,7
